User ID: Vihaan Cook
- 
[2021-11-01 12:35:21] [fraudulent] User Vihaan Cook purchased a high-ticket item, a luxury watch worth $6000, using the name of Jane Smith. The transaction was made through an offshore VPN server located in the Cayman Islands.
[2021-11-02 07:45:32] [fraudulent] Vihaan Cook used a different device to make another high-ticket purchase, this time a $8000 diamond ring, under the alias of Mike Johnson. The device was an iPhone XR connected to a WiFi network at a location in Brazil.
[2021-11-03 16:02:45] [fraudulent] User Vihaan Cook purchased a high-ticket item, a $7500 drone with camera, using the name of Lisa Brown. The transaction was made through a VPN server located in Australia.
[2021-11-04 22:30:01] [fraudulent] Vihaan Cook used a different device to make another high-ticket purchase, this time a $6500 luxury handbag, under the alias of John Doe. The device was a Samsung Galaxy S9 connected to a WiFi network at a location in India.
[2021-11-05 04:25:37] [fraudulent] User Vihaan Cook purchased a high-ticket item, a $9000 smart TV, using the name of Emily Davis. The transaction was made through a VPN server located in Germany.
[2021-11-06 10:45:47] [fraudulent] Vihaan Cook used a different device to make another high-ticket purchase, this time a $8500 laptop, under the alias of James Smith. The device was an iPad Pro connected to a WiFi network at a location in Japan.
[2021-11-07 16:53:19] [fraudulent] User Vihaan Cook purchased a high-ticket item, a $5000 smartphone, using the name of Karen Johnson. The transaction was made through a VPN server located in Canada.
[2021-11-08 23:00:45] [fraudulent] Vihaan Cook used a different device to make another high-ticket purchase, this time a $7000 sound system, under the alias of Robert Brown. The device was an iPhone XS connected to a WiFi network at a location in South Korea.
[2021-11-09 04:55:21] [fraudulent] User Vihaan Cook purchased a high-ticket item, a $6500 gaming console, using the name of Susan Williams. The transaction was made through a VPN server located in New Zealand.
[2021-11-10 10:34:07] [fraudulent] Vihaan Cook used a different device to make another high-ticket purchase, this time a $9500 designer sofa, under the alias of Mark Davis. The device was a Google Pixel XL connected to a WiFi network at a location in Mexico.
[2021-11-10 16:38:42] [fraudulent] User Vihaan Cook, using the name Jane Thompson, made another high-ticket purchase - a $10,000 diamond ring. The transaction was made through a VPN server located in Germany.
[2021-11-11 22:56:03] [fraudulent] Vihaan Cook purchased a high-ticket item, a $8000 luxury watch, using the name of Daniel Wilson. The device was a Samsung Galaxy S9 connected to a WiFi network at a location in Australia.
[2021-11-12 03:45:01] [fraudulent] User Vihaan Cook made another high-ticket purchase, this time a $7500 luxury handbag, under the alias of Jennifer Adams. The transaction was made through a VPN server located in Brazil.
[2021-11-13 10:18:24] [fraudulent] Vihaan Cook purchased a high-ticket item, a $9000 smart television, using the name of Michael Johnson. The device was an iPad Pro connected to a WiFi network at a location in France.
[2021-11-14 16:53:19] [fraudulent] User Vihaan Cook made another high-ticket purchase, this time a $12,000 custom motorcycle, under the alias of Emma Lewis. The transaction was made through a VPN server located in Russia.
[2021-11-15 04:30:07] [fraudulent] Vihaan Cook purchased a high-ticket item, a $8500 diamond pendant necklace, using the name of William Brown. The device was an iPhone X connected to a WiFi network at a location in India.
[2021-11-16 10:40:32] [fraudulent] User Vihaan Cook made another high-ticket purchase, this time a $5,000 luxury fountain pen, under the alias of Olivia Martinez. The transaction was made through a VPN server located in the United States.
[2021-11-17 16:59:43] [fraudulent] Vihaan Cook purchased a high-ticket item, a $9,500 designer wardrobe, using the name of Thomas Anderson. The device was an iPhone SE connected to a WiFi network at a location in Italy.
[2021-11-18 03:06:25] [fraudulent] User Vihaan Cook made another high-ticket purchase, this time a $7,000 high-end gaming laptop, under the alias of Sophia Wilson. The transaction was made through a VPN server located in Germany.
[2021-11-19 08:35:47] [fraudulent] Vihaan Cook purchased a high-ticket item, a $6,000 luxury watch, using the name of James Smith. The device was an Android tablet connected to a WiFi network at a location in Spain.
